doctor,patients_treated,total_appointments,avg_billing,no_shows
Adam Dawson,1,0,22645.63,
Adam Downs,1,0,38479.76,
Adam Duarte,1,0,43514.5,
Adam Espinoza,1,0,21689.83,
Adam Farrell,1,0,40108.89,
Adam Fitzgerald,1,0,35645.92,
Adam Flores,1,0,17390.82,
Adam Foster,1,0,35169.21,
Adam Fox,1,0,15886.27,
Adam Frazier,1,0,14551.56,
Adam Freeman,1,0,40527.5,
Adam Gallagher,1,0,21773.99,
Adam Garza,1,0,20580.08,
Adam Gates,1,0,32371.62,
Adam Gentry,1,0,10581.96,
Adam Gonzalez,1,0,20598.56,
Adam Gray,2,0,22910.91,
Adam Green,2,0,30107.94,
Adam Griffin,1,0,12410.87,
Adam Grimes,1,0,34507.94,
Adam Hall,1,0,3354.36,
Adam Hardy,1,0,28281.35,
Adam Harper,1,0,13168.46,
Adam Harrell,1,0,6758.2,
Adam Harris,1,0,37594.01,
Adam Hayes,2,0,10082.57,
Adam Henry,1,0,45084.13,
Adam Higgins,1,0,26338.55,
Adam Horne,1,0,29595.77,
Adam Jackson,3,0,41739.5,
Adam Johnson,1,0,28410.15,
Adam Jones,2,0,6448.53,
Adam Juarez,1,0,3331.93,
Adam Kaufman,1,0,20084.46,
Adam Keller,3,0,21312.88,
Adam Kelley,1,0,2294.77,
Adam Kelly,1,0,16573.42,
Adam King,1,0,33062.11,
Adam Knox,1,0,31992.82,
Adam Kramer,1,0,32548.72,
Adam Krueger DDS,2,0,7760.9,
Adam Lam,2,0,39335.84,
Adam Landry,1,0,12855.52,
Adam Lane,1,0,18155.16,
Adam Lewis,1,0,26105.49,
Adam Little,1,0,22281.91,
Adam Lopez,1,0,14320.69,
Adam Lucas,1,0,28138.3,
Adam Marsh,1,0,38296.57,
Adam Marshall,1,0,27665.66,
Adam Martinez,1,0,17268.33,
Adam Mason,1,0,38282.32,
Adam May,2,0,11451.27,
Adam Mccoy,1,0,7093.44,
Adam Mckinney,1,0,16955.56,
Adam Medina,1,0,49028.64,
Adam Meyer,1,0,46079.53,
Adam Miller,3,0,33141.35,
Adam Mitchell,1,0,51139.36,
Adam Moyer,1,0,1187.78,
Adam Nelson,1,0,43401.38,
Adam Ochoa,1,0,19497.13,
Adam Page,1,0,33009.27,
Adam Parker,1,0,15558.25,
Adam Parsons,1,0,42155.7,
Adam Patel,1,0,11754.75,
Adam Payne,2,0,4656.88,
Adam Pearson,1,0,19600.26,
Adam Perez,2,0,20274.97,
Adam Peterson,1,0,18144.86,
Adam Pierce,1,0,47876.58,
Adam Pineda,1,0,15567.46,
Adam Pitts,3,0,12863.83,
Adam Price,1,0,14654.74,
Adam Ray,2,0,12041.7,
Adam Raymond,1,0,35862.36,
Adam Reed,1,0,2978.67,
Adam Reeves,1,0,12699.32,
Adam Rice,2,0,29679.32,
Adam Richard,1,0,15860.36,
Adam Richardson,2,0,24932.01,
Adam Rivers,1,0,47173.78,
Adam Roberts,1,0,26276.79,
Adam Robertson,1,0,20054.06,
Adam Robles,1,0,1665.56,
Adam Rodgers,1,0,43748.75,
Adam Rodriguez,2,0,22981.63,
Adam Ross,1,0,11311.33,
Adam Sanders,1,0,51567.28,
Adam Santiago,1,0,1573.26,
Adam Schneider,1,0,9465.65,
Adam Shannon,1,0,44664.33,
Adam Shaw,1,0,44667.98,
Adam Sims,1,0,35344.43,
Adam Singh,1,0,28927.27,
Adam Smith,6,0,24114.76,
Adam Snyder,1,0,35923.57,
Adam Sparks,2,0,7720.5,
Adam Stewart,1,0,43992.13,
Adam Thomas,1,0,19289.7,
Adam Thompson,2,0,41940.29,
Adam Torres,2,0,32177.37,
Adam Torres DDS,1,0,6812.17,
Adam Turner,1,0,34124.91,
Adam Vega,1,0,19995.2,
Adam Velazquez MD,1,0,5090.08,
Adam Velez,1,0,18170.9,
Adam Walker,2,0,30534.7,
Adam Waller,1,0,20173.59,
Adam Walsh,1,0,40559.1,
Adam Walton,1,0,15210.48,
Adam Watson,2,0,25608.51,
Adam West,1,0,11424.48,
Adam White,1,0,30565.84,
Adam Whitehead,1,0,19017.65,
Adam Williams,2,0,20259.86,
Adam Williamson,1,0,18859.38,
Adam Wilson,2,0,10678.71,
Adam Woodard,1,0,14910.08,
Adam Wright,2,0,3421.76,
Adam Wyatt,2,0,25629.94,
Adam Young,1,0,30484.96,
Adrian Allen,2,0,24572.24,
Adrian Bates,1,0,13183.4,
Adrian Booth,1,0,41203.55,
Adrian Brown,2,0,27550.89,
Adrian Butler,1,0,16139.33,
Adrian Cox,1,0,23462.64,
Adrian Davis,3,0,16196.52,
Adrian Dickson,2,0,50430.43,
Adrian Ford,1,0,13750.17,
Adrian Franco,1,0,5248.25,
Adrian Galvan,2,0,40902.41,
Adrian Gamble,1,0,14229.8,
Adrian Garcia DDS,1,0,1597.05,
Adrian Gonzalez,1,0,20688.34,
Adrian Henderson,1,0,44291.73,
Adrian Herrera,1,0,16113.55,
Adrian Jacobs PhD,1,0,33345.58,
Adrian Joseph,1,0,34180.66,
Adrian Lopez,1,0,25351.92,
Adrian Mills,1,0,22915.99,
Adrian Nelson,1,0,39641.62,
Adrian Nicholson,1,0,26060.32,
Adrian Oconnell,1,0,22743.33,
Adrian Olsen,1,0,25102.9,
Adrian Powell,1,0,18271.0,
Adrian Ray,1,0,6713.39,
Adrian Richards,1,0,44709.57,
Adrian Richmond,1,0,17456.18,
Adrian Ruiz,2,0,44072.46,
Adrian Shannon,1,0,13761.81,
Adrian Smith,2,0,44690.61,
Adrian Swanson,1,0,38026.85,
Adrian Tran,1,0,18174.44,
Adrian Vaughn,1,0,26163.99,
Adrian Warren,1,0,34344.57,
Adrian Zamora,1,0,23447.34,
Adriana Alvarez,3,0,33108.2,
Adriana Boyle,1,0,25517.1,
Adriana Bryant,1,0,11185.69,
Adriana Colon,1,0,8140.82,
Adriana Duncan,1,0,32254.44,
Adriana Evans,2,0,25682.54,
Adriana Francis,2,0,19538.12,
Adriana Gates,1,0,27285.14,
Adriana Gould,1,0,40606.46,
Adriana Morrow,1,0,26437.78,
Adriana Patton,1,0,3490.59,
Adriana Sullivan,1,0,34426.79,
Adrienne Barry,3,0,8839.99,
Adrienne Evans,1,0,10609.31,
Adrienne Gibson,1,0,24254.53,
Adrienne Howard,1,0,34366.0,
Adrienne Jones,1,0,27409.53,
Adrienne Kelley,1,0,33133.43,
Adrienne Knight,1,0,41672.23,
Adrienne Lopez,1,0,46424.22,
Adrienne Matthews,1,0,35284.17,
Adrienne Miles,1,0,16383.94,
Adrienne Oneill,1,0,45918.21,
Adrienne Reed,1,0,12720.24,
Adrienne Rodriguez,1,0,14917.96,
Adrienne Santiago,2,0,46454.7,
Adrienne Schroeder,1,0,6873.57,
Adrienne Stevens,1,0,32503.3,
Adrienne Taylor,1,0,28777.21,
Adrienne Terrell,1,0,27436.62,
Aimee Garcia,1,0,9305.84,
Aimee Johnson,2,0,12183.41,
Aimee Maxwell,2,0,29664.52,
Aimee Mclean,1,0,31015.51,
Aimee Ramirez,1,0,43066.73,
Aimee Reilly,2,0,13270.29,
Aimee Rosario,1,0,33746.22,
Aimee Russell,3,0,44153.93,
Aimee Sosa,1,0,13165.67,
Aimee Taylor,1,0,27016.09,
Aimee Terry,2,0,31254.37,
Aimee Turner,1,0,42191.25,
Alan Anderson,1,0,26353.22,
Alan Austin,1,0,2301.84,
Alan Baker,1,0,32192.21,
Alan Baldwin,1,0,42836.19,
Alan Barnes,1,0,3361.33,
Alan Beasley,1,0,47360.03,
Alan Benson,1,0,13162.5,
Alan Bradley,1,0,44034.04,
Alan Butler,1,0,12007.8,
Alan Cain,1,0,37544.8,
Alan Choi,1,0,38103.96,
Alan Church,1,0,5205.34,
Alan Collins,2,0,40340.95,
Alan Compton,1,0,9320.81,
Alan Evans,1,0,7571.52,
Alan Fernandez,1,0,30395.57,
Alan Fletcher,1,0,7782.74,
Alan Friedman,1,0,12443.11,
Alan Fuller,1,0,23012.09,
Alan Gilbert,1,0,43634.35,
Alan Hart,3,0,32639.63,
Alan Hendrix,1,0,42582.62,
Alan Hernandez,1,0,14795.36,
Alan Jones,1,0,23859.44,
Alan Kline,1,0,29965.76,
Alan Little,2,0,7340.62,
Alan Long,2,0,31473.65,
Alan Martinez,1,0,8196.57,
Alan Mcfarland,1,0,14087.78,
Alan Michael,1,0,25844.39,
Alan Miller,1,0,47322.84,
Alan Moore,1,0,15040.18,
Alan Morgan,1,0,47949.77,
Alan Morris,2,0,36319.67,
Alan Murphy,2,0,20225.83,
Alan Owens,1,0,37364.94,
Alan Pena,1,0,28085.74,
Alan Preston,1,0,22415.35,
Alan Ritter,2,0,2698.25,
Alan Robinson,1,0,30496.77,
Alan Rubio,1,0,26254.58,
Alan Russo,1,0,16276.29,
Alan Savage,1,0,27091.67,
Alan Scott,1,0,6513.95,
Alan Swanson,1,0,47713.21,
Alan Wade,1,0,47458.39,
Alan Williams,1,0,39360.14,
Albert Brooks,1,0,26200.62,
Albert Carlson,1,0,39320.83,
Albert Coleman,1,0,22596.1,
Albert Franco,2,0,16814.75,
Albert Gibson,1,0,17754.04,
Albert Goodwin,1,0,45493.39,
Albert Gordon,1,0,48016.34,
Albert Hall,1,0,22924.14,
Albert Johnson,1,0,17038.76,
Albert Johnston,1,0,15121.25,
Albert Knapp,1,0,26364.27,
Albert Lowe,1,0,22573.44,
Albert Mendez,1,0,21331.3,
Albert Moore,1,0,29068.01,
Albert Owen,1,0,21115.65,
Albert Powell,1,0,29033.61,
Albert Rice,1,0,14596.07,
Albert Small,1,0,38411.23,
Albert Smith DVM,1,0,7667.19,
Albert Taylor,2,0,30833.97,
Albert Terry,1,0,38223.06,
Albert Thompson,1,0,29891.83,
Albert Valenzuela,1,0,27752.82,
Albert Williams,1,0,27050.1,
Albert Wilson,1,0,18069.28,
Albert Wright,1,0,46661.27,
Alec Castillo,1,0,29043.73,
Alec Cummings,1,0,46825.15,
Alec Diaz,1,0,4688.1,
Alec Flores,1,0,27495.34,
Alec Gallegos,1,0,19763.25,
Alec Jones,1,0,15479.27,
Alec May,2,0,8926.29,
Alec Mills,2,0,35512.19,
Alec Ortiz,1,0,15462.25,
Alec Pope,1,0,37889.88,
Alec Turner,1,0,37189.28,
Alejandra Clark,1,0,35953.45,
Alejandra Cummings,2,0,24650.59,
Alejandra Foster,1,0,13288.25,
Alejandra Garcia,1,0,34596.83,
Alejandra Martin,1,0,26528.04,
Alejandra Martinez,1,0,25538.53,
Alejandra Mccarty,1,0,23857.45,
Alejandra Miller,1,0,16848.08,
Alejandra Ochoa,1,0,47099.63,
Alejandra Palmer,1,0,3626.06,
Alejandra Ruiz,1,0,13362.76,
Alejandra Welch,1,0,10072.76,
Alejandra Williams,1,0,5936.18,
Alejandro Brown,1,0,48064.82,
Alejandro Cole,1,0,42472.25,
Alejandro Davis,1,0,11848.08,
Alejandro Edwards,1,0,4574.04,
Alejandro Frederick,1,0,47277.61,
Alejandro Harper,1,0,39402.96,
Alejandro Hernandez,1,0,15094.04,
Alejandro Kim,1,0,45324.81,
Alejandro Lowery,1,0,17548.85,
Alejandro Oneal,1,0,16626.26,
Alejandro Pearson,1,0,26697.18,
Alejandro Phillips,1,0,9372.17,
Alejandro Rhodes,1,0,27959.02,
Alejandro Rojas,1,0,33940.91,
Alejandro Scott,2,0,2381.54,
Alex Bailey,1,0,39086.15,
Alex Banks,1,0,17554.96,
Alex Berg,1,0,28998.12,
Alex Brady,1,0,16871.92,
Alex Brooks,1,0,33076.99,
Alex Carroll,1,0,42444.66,
Alex Chambers,1,0,29650.77,
Alex Cooper,1,0,36185.59,
Alex Cummings,1,0,41564.46,
Alex Curtis III,1,0,5918.04,
Alex Davis,1,0,37095.59,
Alex Dominguez,2,0,37270.54,
Alex Donovan,1,0,28541.48,
Alex Edwards,1,0,33127.36,
Alex Ewing,1,0,40745.25,
Alex Fischer,1,0,18014.38,
Alex Garcia,1,0,8749.64,
Alex Goodman,1,0,39514.73,
Alex Herrera,1,0,43296.34,
Alex Hodge,1,0,16920.03,
Alex Johnson,2,0,43650.31,
Alex Lamb,1,0,20183.79,
Alex Lane,1,0,31341.6,
Alex Lopez,1,0,6767.88,
Alex Mcintosh,1,0,3863.15,
Alex Mcknight,2,0,5878.78,
Alex Miller,2,0,9153.35,
Alex Moore,2,0,18266.38,
Alex Neal,2,0,24293.03,
Alex Olson,1,0,24448.18,
Alex Ortiz,1,0,8343.35,
Alex Pope,2,0,22333.85,
Alex Pruitt,1,0,5505.76,
Alex Rivera,1,0,45088.56,
Alex Ryan,1,0,40410.81,
Alex Shelton,2,0,22953.58,
Alex Thomas,1,0,13690.9,
Alex Thornton,1,0,2989.07,
Alex Torres,1,0,38864.55,
Alex Tyler,1,0,49569.1,
Alex Walsh,1,0,43773.16,
Alex Wells,1,0,30746.63,
Alex Williams,1,0,35639.49,
Alex Wilson,1,0,8019.06,
Alexa Burnett,1,0,21462.35,
Alexa Cox,1,0,24198.41,
Alexa Espinoza,1,0,39066.97,
Alexa Garrett,1,0,8320.32,
Alexa Hernandez,1,0,38037.99,
Alexa Hill,2,0,5724.73,
Alexa King,1,0,26117.86,
Alexa Lawson,1,0,43459.11,
Alexa Lopez,1,0,113.4,
Alexa Mccarthy,1,0,1951.05,
Alexa Perez,2,0,2652.43,
Alexa Perry,2,0,8832.0,
Alexa Phillips,2,0,10561.39,
Alexa Vasquez,1,0,32537.49,
Alexander Allen,1,0,44186.25,
Alexander Armstrong,1,0,30325.5,
Alexander Ayala,1,0,32014.03,
Alexander Bailey,3,0,23994.82,
Alexander Baker,1,0,33177.72,
Alexander Beck,1,0,5808.02,
Alexander Bennett,1,0,9344.8,
Alexander Blackwell,1,0,41769.88,
Alexander Briggs,1,0,33062.84,
Alexander Brown,1,0,120.82,
Alexander Bruce,1,0,30173.29,
Alexander Burnett,1,0,19653.22,
Alexander Carr,1,0,38607.75,
Alexander Carroll,1,0,4241.44,
Alexander Carter,1,0,5505.07,
Alexander Castillo,1,0,38629.27,
Alexander Charles,1,0,4499.39,
Alexander Cline,1,0,2450.99,
Alexander Cobb,2,0,4921.16,
Alexander Daniels,2,0,13762.46,
Alexander David,1,0,38904.37,
Alexander Davis,1,0,45040.0,
Alexander Douglas,1,0,29780.47,
Alexander Duarte,2,0,45140.82,
Alexander Duke,2,0,26921.73,
Alexander Dunn,1,0,13684.23,
Alexander Ferguson,1,0,17107.63,
Alexander Fox,2,0,3990.87,
Alexander Freeman,1,0,5168.95,
Alexander Frye,1,0,13027.04,
Alexander Garcia,2,0,30971.25,
Alexander Garza,1,0,33427.91,
Alexander Gibson,1,0,7290.48,
Alexander Glover,1,0,8771.19,
Alexander Gomez,1,0,22150.89,
Alexander Gray,1,0,27851.83,
Alexander Gutierrez,1,0,38472.25,
Alexander Harris,2,0,10237.72,
Alexander Harvey,1,0,41056.84,
Alexander Hebert,2,0,31912.82,
Alexander Hendrix,1,0,42341.98,
Alexander Higgins,1,0,8656.08,
Alexander Hines,1,0,45045.74,
Alexander Hodge,1,0,39521.61,
Alexander Hopkins,1,0,35692.13,
Alexander Horton,2,0,30296.02,
Alexander Hull,1,0,19134.4,
Alexander Hunt,2,0,30170.68,
Alexander Jackson,3,0,13934.54,
Alexander James,2,0,12262.35,
Alexander Jenkins,1,0,3923.97,
Alexander Johnson,3,0,28344.16,
Alexander Jones,2,0,35425.88,
Alexander King,1,0,51661.01,
Alexander Klein,1,0,34707.18,
Alexander Kramer,1,0,9656.83,
Alexander Lawson,1,0,17203.0,
Alexander Lee,1,0,42289.0,
Alexander Lester,1,0,43011.68,
Alexander Love,1,0,18290.56,
Alexander Manning,1,0,26988.4,
Alexander Martin,1,0,36257.63,
Alexander Martinez,3,0,16298.62,
Alexander Mcintosh,1,0,7475.74,
Alexander Meyer,1,0,35431.86,
Alexander Miller,2,0,32595.28,
Alexander Mills,2,0,44678.04,
Alexander Mitchell,1,0,31160.96,
Alexander Monroe,2,0,14962.58,
Alexander Montgomery,1,0,46945.24,
Alexander Moore,3,0,21438.44,
Alexander Moreno,1,0,14914.56,
Alexander Morgan,1,0,34712.23,
Alexander Morris,1,0,10921.45,
Alexander Murphy,1,0,39745.16,
Alexander Murray,1,0,33644.64,
Alexander Myers,1,0,47379.28,
Alexander Nguyen,1,0,49984.57,
Alexander Nicholson,1,0,35272.28,
Alexander Oconnor,1,0,43899.38,
Alexander Pacheco,1,0,12647.02,
Alexander Parks,1,0,33323.46,
Alexander Patterson,1,0,10135.87,
Alexander Peterson,1,0,19285.46,
Alexander Ponce,1,0,48130.09,
Alexander Preston,1,0,14150.51,
Alexander Price,1,0,26740.65,
Alexander Prince,1,0,13631.25,
Alexander Randall,1,0,44355.36,
Alexander Rivera,1,0,17679.03,
Alexander Robinson,2,0,4134.69,
Alexander Robles,1,0,2076.33,
Alexander Rodriguez,3,0,21754.82,
Alexander Ruiz,1,0,40791.56,
Alexander Ryan,1,0,14344.82,
Alexander Sanchez,2,0,9878.69,
Alexander Sanders,1,0,27102.67,
Alexander Scott,2,0,45422.62,
Alexander Shelton,1,0,8210.61,
Alexander Smith,4,0,30826.88,
Alexander Smith DDS,1,0,48450.94,
Alexander Stanley,2,0,35074.36,
Alexander Stephens,1,0,18068.32,
Alexander Stewart,3,0,22818.5,
Alexander Swanson,1,0,32362.39,
Alexander Terry,1,0,26777.33,
Alexander Vasquez,1,0,47186.14,
Alexander Villarreal,1,0,4287.4,
Alexander Villegas,1,0,45813.5,
Alexander Walters,2,0,31401.5,
Alexander Washington,1,0,13750.61,
Alexander Watkins,1,0,17025.86,
Alexander Watson,1,0,37636.48,
Alexander White,1,0,15235.71,
Alexander Wiley,1,0,31466.7,
Alexander Williams,2,0,28809.77,
Alexandra Ballard,1,0,7877.48,
Alexandra Barnes,2,0,1316.52,
Alexandra Barnett,1,0,39705.71,
Alexandra Bennett,1,0,42615.24,
Alexandra Bowen,1,0,31252.17,
Alexandra Buck,1,0,31736.51,
Alexandra Caldwell,1,0,17889.72,
Alexandra Camacho,1,0,45881.82,
Alexandra Cantrell,1,0,4928.47,
Alexandra Cardenas,1,0,11694.68,
Alexandra Case,1,0,47224.16,
Alexandra Cherry,1,0,11246.51,
Alexandra Daniels,1,0,40960.84,
Alexandra Davis,1,0,39191.57,
Alexandra Erickson,1,0,21426.4,
Alexandra Flores,1,0,49522.0,
Alexandra Frye,1,0,48253.92,
Alexandra Fuller,1,0,24703.14,
Alexandra Gallagher,1,0,5162.94,
Alexandra Garcia,1,0,34806.84,
Alexandra Gentry,1,0,5510.76,
Alexandra Gould,2,0,6364.48,
Alexandra Hall,1,0,26884.24,
Alexandra Hayes,1,0,40606.79,
Alexandra Hernandez,1,0,29227.02,
Alexandra Holmes,1,0,13412.6,
Alexandra Howard,1,0,39605.89,
Alexandra Howell,1,0,31193.33,
Alexandra Jones,1,0,14092.73,
Alexandra Kaufman,1,0,14887.05,
Alexandra Kim,1,0,30502.46,
Alexandra Knapp,1,0,818.36,
Alexandra Lawson,2,0,27079.95,
Alexandra Livingston,1,0,14758.47,
Alexandra Martin,2,0,32903.24,
Alexandra Mcdonald,1,0,35487.84,
Alexandra Melton,2,0,47802.65,
Alexandra Meyers,1,0,39194.54,
Alexandra Mitchell,2,0,35137.32,
Alexandra Morrison,1,0,23876.02,
Alexandra Olson,1,0,49104.95,
Alexandra Pena,1,0,37153.38,
Alexandra Ramos,1,0,10029.2,
Alexandra Reynolds,1,0,32870.48,
Alexandra Rice,1,0,21467.27,
Alexandra Richard,1,0,37977.47,
Alexandra Richardson,2,0,22616.49,
Alexandra Riddle,2,0,2890.28,
Alexandra Roberts,2,0,18523.82,
Alexandra Ross,1,0,19000.79,
Alexandra Ruiz,1,0,23307.51,
Alexandra Russell,1,0,24763.46,
Alexandra Sanchez,2,0,44798.21,
Alexandra Sanders,1,0,51169.27,
Alexandra Sexton,1,0,51634.1,
Alexandra Shelton,1,0,12196.45,
Alexandra Sims,1,0,31444.09,
Alexandra Smith,1,0,38651.93,
Alexandra Stein,1,0,23379.92,
Alexandra Stevens,1,0,3542.69,
Alexandra Sullivan,1,0,1398.77,
Alexandra Walker,1,0,27514.54,
Alexandra Warren,2,0,30100.51,
Alexandra Wiggins,1,0,45799.86,
Alexandra Williams,2,0,24490.84,
Alexandria Anderson,1,0,2887.68,
Alexandria Bridges,1,0,23392.21,
